location,user_id,session_id,duration_hours,energy,start_date,start_time,end_date,end_time,start_hour,end_hour,month,day,duration_minutes,day_type,user_id_num,abs_start,abs_end,arrival_hour
CH5,KR_U109,KR90,2.15,15.4,2022-05-12,23:10:00.0,2022-05-13,01:19:00.0,23,1,May,Thursday,129.0,Weekday,2,2022-05-12T23:10:00.0,2022-05-13T01:19:00.0,23.166666666666668
CH5,KR_U109,KR91,2.683333333333333,19.2,2022-05-19,22:51:00.0,2022-05-20,01:32:00.0,22,1,May,Thursday,161.0,Weekday,2,2022-05-19T22:51:00.0,2022-05-20T01:32:00.0,22.85
CH5,KR_U109,KR92,2.783333333333333,19.9,2022-05-21,23:45:00.0,2022-05-22,02:32:00.0,23,2,May,Saturday,167.0,Weekend,2,2022-05-21T23:45:00.0,2022-05-22T02:32:00.0,23.75
CH5,KR_U109,KR93,1.9333333333333333,13.8,2022-05-25,00:19:00.0,2022-05-25,02:15:00.0,0,2,May,Wednesday,116.0,Weekday,2,2022-05-25T00:19:00.0,2022-05-25T02:15:00.0,0.31666666666666665
CH5,KR_U109,KR94,1.5333333333333334,10.9,2022-04-06,20:13:00.0,2022-04-06,21:45:00.0,20,21,April,Wednesday,92.0,Weekday,2,2022-04-06T20:13:00.0,2022-04-06T21:45:00.0,20.216666666666665
CH5,KR_U109,KR95,1.2166666666666666,8.8,2022-04-06,22:11:00.0,2022-04-06,23:24:00.0,22,23,April,Wednesday,73.0,Weekday,2,2022-04-06T22:11:00.0,2022-04-06T23:24:00.0,22.183333333333334
CH5,KR_U109,KR96,2.95,21.0,2022-04-20,23:28:00.0,2022-04-21,02:25:00.0,23,2,April,Wednesday,177.0,Weekday,2,2022-04-20T23:28:00.0,2022-04-21T02:25:00.0,23.466666666666665
CH5,KR_U109,KR97,3.4,24.3,2022-04-23,23:30:00.0,2022-04-24,02:54:00.0,23,2,April,Saturday,204.0,Weekend,2,2022-04-23T23:30:00.0,2022-04-24T02:54:00.0,23.5
CH5,KR_U109,KR98,1.0,7.1,2022-02-05,19:46:00.0,2022-02-05,20:46:00.0,19,20,February,Saturday,60.0,Weekend,2,2022-02-05T19:46:00.0,2022-02-05T20:46:00.0,19.766666666666666
CH5,KR_U109,KR99,2.0,14.1,2022-01-04,18:16:00.0,2022-01-04,20:16:00.0,18,20,January,Tuesday,120.0,Weekday,2,2022-01-04T18:16:00.0,2022-01-04T20:16:00.0,18.266666666666666
CH5,KR_U109,KR100,2.933333333333333,19.4,2022-01-16,22:08:00.0,2022-01-17,01:04:00.0,22,1,January,Sunday,176.0,Weekend,2,2022-01-16T22:08:00.0,2022-01-17T01:04:00.0,22.133333333333333
CH5,KR_U109,KR101,3.5833333333333335,22.1,2022-01-20,19:05:00.0,2022-01-20,22:40:00.0,19,22,January,Thursday,215.0,Weekday,2,2022-01-20T19:05:00.0,2022-01-20T22:40:00.0,19.083333333333332
CH5,KR_U109,KR102,3.3,23.2,2022-01-24,19:21:00.0,2022-01-24,22:39:00.0,19,22,January,Monday,198.0,Weekday,2,2022-01-24T19:21:00.0,2022-01-24T22:39:00.0,19.35
CH5,KR_U109,KR103,3.716666666666667,26.1,2021-12-03,22:25:00.0,2021-12-04,02:08:00.0,22,2,December,Friday,223.0,Weekday,2,2021-12-03T22:25:00.0,2021-12-04T02:08:00.0,22.416666666666668
CH5,KR_U109,KR104,0.7,4.9,2021-12-25,19:18:00.0,2021-12-25,20:00:00.0,19,20,December,Saturday,42.0,Weekend,2,2021-12-25T19:18:00.0,2021-12-25T20:00:00.0,19.3
CH5,KR_U109,KR105,3.1666666666666665,19.8,2021-12-25,20:24:00.0,2021-12-25,23:34:00.0,20,23,December,Saturday,190.0,Weekend,2,2021-12-25T20:24:00.0,2021-12-25T23:34:00.0,20.4
CH5,KR_U109,KR106,2.9,20.2,2021-11-04,19:19:00.0,2021-11-04,22:13:00.0,19,22,November,Thursday,174.0,Weekday,2,2021-11-04T19:19:00.0,2021-11-04T22:13:00.0,19.316666666666666
CH5,KR_U109,KR107,3.8333333333333335,26.9,2021-11-10,18:37:00.0,2021-11-10,22:27:00.0,18,22,November,Wednesday,230.0,Weekday,2,2021-11-10T18:37:00.0,2021-11-10T22:27:00.0,18.616666666666667
CH5,KR_U109,KR108,1.7,11.0,2021-11-27,21:43:00.0,2021-11-27,23:25:00.0,21,23,November,Saturday,102.0,Weekend,2,2021-11-27T21:43:00.0,2021-11-27T23:25:00.0,21.716666666666665
CH5,KR_U109,KR109,1.0,7.1,2021-10-23,17:28:00.0,2021-10-23,18:28:00.0,17,18,October,Saturday,60.0,Weekend,2,2021-10-23T17:28:00.0,2021-10-23T18:28:00.0,17.466666666666665
CH13,KR_U42,KR163,1.7666666666666666,12.0,2022-09-16,18:04:00.0,2022-09-16,19:50:00.0,18,19,September,Friday,106.0,Weekday,8,2022-09-16T18:04:00.0,2022-09-16T19:50:00.0,18.066666666666666
CH13,KR_U42,KR164,1.9166666666666667,13.6,2022-08-14,09:59:00.0,2022-08-14,11:54:00.0,9,11,August,Sunday,115.0,Weekend,8,2022-08-14T09:59:00.0,2022-08-14T11:54:00.0,9.983333333333333
CH13,KR_U42,KR165,2.25,16.0,2022-08-13,11:51:00.0,2022-08-13,14:06:00.0,11,14,August,Saturday,135.0,Weekend,8,2022-08-13T11:51:00.0,2022-08-13T14:06:00.0,11.85
CH13,KR_U42,KR166,2.966666666666667,21.2,2022-08-12,10:45:00.0,2022-08-12,13:43:00.0,10,13,August,Friday,178.0,Weekday,8,2022-08-12T10:45:00.0,2022-08-12T13:43:00.0,10.75
CH13,KR_U42,KR167,0.9833333333333333,6.89,2022-08-08,16:45:00.0,2022-08-08,17:44:00.0,16,17,August,Monday,59.0,Weekday,8,2022-08-08T16:45:00.0,2022-08-08T17:44:00.0,16.75
CH13,KR_U42,KR168,0.8166666666666667,5.8,2022-08-08,10:00:00.0,2022-08-08,10:49:00.0,10,10,August,Monday,49.0,Weekday,8,2022-08-08T10:00:00.0,2022-08-08T10:49:00.0,10.0
CH13,KR_U42,KR169,1.05,1.8,2022-08-20,11:16:00.0,2022-08-20,12:19:00.0,11,12,August,Saturday,63.0,Weekend,8,2022-08-20T11:16:00.0,2022-08-20T12:19:00.0,11.266666666666667
CH13,KR_U42,KR170,0.2833333333333333,1.9,2022-08-20,10:50:00.0,2022-08-20,11:07:00.0,10,11,August,Saturday,17.0,Weekend,8,2022-08-20T10:50:00.0,2022-08-20T11:07:00.0,10.833333333333334
CH13,KR_U42,KR171,2.6,14.3,2022-06-15,20:57:00.0,2022-06-15,23:33:00.0,20,23,June,Wednesday,156.0,Weekday,8,2022-06-15T20:57:00.0,2022-06-15T23:33:00.0,20.95
CH13,KR_U42,KR172,0.8833333333333333,6.4,2022-05-19,20:55:00.0,2022-05-19,21:48:00.0,20,21,May,Thursday,53.0,Weekday,8,2022-05-19T20:55:00.0,2022-05-19T21:48:00.0,20.916666666666668
CH13,KR_U42,KR173,1.8666666666666667,13.2,2022-04-03,16:13:00.0,2022-04-03,18:05:00.0,16,18,April,Sunday,112.0,Weekend,8,2022-04-03T16:13:00.0,2022-04-03T18:05:00.0,16.216666666666665
CH13,KR_U42,KR174,1.3333333333333333,9.6,2022-04-16,14:45:00.0,2022-04-16,16:05:00.0,14,16,April,Saturday,80.0,Weekend,8,2022-04-16T14:45:00.0,2022-04-16T16:05:00.0,14.75
CH13,KR_U64,KR175,1.3,8.8,2022-09-19,17:19:00.0,2022-09-19,18:37:00.0,17,18,September,Monday,78.0,Weekday,9,2022-09-19T17:19:00.0,2022-09-19T18:37:00.0,17.316666666666666
CH13,KR_U64,KR176,1.8333333333333333,11.9,2022-08-14,12:10:00.0,2022-08-14,14:00:00.0,12,14,August,Sunday,110.0,Weekend,9,2022-08-14T12:10:00.0,2022-08-14T14:00:00.0,12.166666666666666
CH13,KR_U64,KR177,0.6833333333333333,4.6,2022-08-09,16:28:00.0,2022-08-09,17:09:00.0,16,17,August,Tuesday,41.0,Weekday,9,2022-08-09T16:28:00.0,2022-08-09T17:09:00.0,16.466666666666665
CH13,KR_U64,KR178,0.7166666666666667,4.8,2022-08-28,10:47:00.0,2022-08-28,11:30:00.0,10,11,August,Sunday,43.0,Weekend,9,2022-08-28T10:47:00.0,2022-08-28T11:30:00.0,10.783333333333333
CH13,KR_U64,KR179,1.3833333333333333,9.4,2022-08-27,15:59:00.0,2022-08-27,17:22:00.0,15,17,August,Saturday,83.0,Weekend,9,2022-08-27T15:59:00.0,2022-08-27T17:22:00.0,15.983333333333333
CH13,KR_U64,KR180,1.6333333333333333,10.7,2022-07-01,17:28:00.0,2022-07-01,19:06:00.0,17,19,July,Friday,98.0,Weekday,9,2022-07-01T17:28:00.0,2022-07-01T19:06:00.0,17.466666666666665
CH13,KR_U64,KR181,2.3333333333333335,15.3,2022-07-05,17:17:00.0,2022-07-05,19:37:00.0,17,19,July,Tuesday,140.0,Weekday,9,2022-07-05T17:17:00.0,2022-07-05T19:37:00.0,17.283333333333335
CH13,KR_U64,KR182,2.35,15.2,2022-07-08,17:03:00.0,2022-07-08,19:24:00.0,17,19,July,Friday,141.0,Weekday,9,2022-07-08T17:03:00.0,2022-07-08T19:24:00.0,17.05
CH13,KR_U64,KR183,2.8333333333333335,18.9,2022-07-14,07:15:00.0,2022-07-14,10:05:00.0,7,10,July,Thursday,170.0,Weekday,9,2022-07-14T07:15:00.0,2022-07-14T10:05:00.0,7.25
CH13,KR_U64,KR184,1.15,7.79,2022-07-27,16:12:00.0,2022-07-27,17:21:00.0,16,17,July,Wednesday,69.0,Weekday,9,2022-07-27T16:12:00.0,2022-07-27T17:21:00.0,16.2
CH13,KR_U64,KR185,3.3833333333333333,23.2,2022-06-14,17:15:00.0,2022-06-14,20:38:00.0,17,20,June,Tuesday,203.0,Weekday,9,2022-06-14T17:15:00.0,2022-06-14T20:38:00.0,17.25
CH13,KR_U64,KR186,0.9,6.0,2021-10-02,04:48:00.0,2021-10-02,05:42:00.0,4,5,October,Saturday,54.0,Weekend,9,2021-10-02T04:48:00.0,2021-10-02T05:42:00.0,4.8
CH13,KR_U64,KR187,1.2833333333333334,8.6,2021-10-04,04:09:00.0,2021-10-04,05:26:00.0,4,5,October,Monday,77.0,Weekday,9,2021-10-04T04:09:00.0,2021-10-04T05:26:00.0,4.15
CH13,KR_U64,KR188,0.6833333333333333,4.7,2021-10-07,07:55:00.0,2021-10-07,08:36:00.0,7,8,October,Thursday,41.0,Weekday,9,2021-10-07T07:55:00.0,2021-10-07T08:36:00.0,7.916666666666667
CH13,KR_U64,KR189,1.55,10.29,2021-10-12,08:01:00.0,2021-10-12,09:34:00.0,8,9,October,Tuesday,93.0,Weekday,9,2021-10-12T08:01:00.0,2021-10-12T09:34:00.0,8.016666666666667
CH13,KR_U186,KR340,10.433333333333334,22.5,2022-08-31,18:44:00.0,2022-09-01,05:10:00.0,18,5,August,Wednesday,626.0,Weekday,13,2022-08-31T18:44:00.0,2022-09-01T05:10:00.0,18.733333333333334
CH13,KR_U186,KR341,10.866666666666667,18.5,2022-08-01,19:18:00.0,2022-08-02,06:10:00.0,19,6,August,Monday,652.0,Weekday,13,2022-08-01T19:18:00.0,2022-08-02T06:10:00.0,19.3
CH13,KR_U186,KR342,11.0,23.0,2022-08-22,19:10:00.0,2022-08-23,06:10:00.0,19,6,August,Monday,660.0,Weekday,13,2022-08-22T19:10:00.0,2022-08-23T06:10:00.0,19.166666666666668
CH13,KR_U186,KR343,10.016666666666667,22.5,2022-07-12,19:09:00.0,2022-07-13,05:10:00.0,19,5,July,Tuesday,601.0,Weekday,13,2022-07-12T19:09:00.0,2022-07-13T05:10:00.0,19.15
CH13,KR_U186,KR344,4.366666666666666,17.7,2022-06-19,14:25:00.0,2022-06-19,18:47:00.0,14,18,June,Sunday,262.0,Weekend,13,2022-06-19T14:25:00.0,2022-06-19T18:47:00.0,14.416666666666666
CH13,KR_U186,KR345,10.283333333333333,20.9,2022-06-27,18:53:00.0,2022-06-28,05:10:00.0,18,5,June,Monday,617.0,Weekday,13,2022-06-27T18:53:00.0,2022-06-28T05:10:00.0,18.883333333333333
CH13,KR_U186,KR346,4.95,20.9,2022-04-08,19:13:00.0,2022-04-09,00:10:00.0,19,0,April,Friday,297.0,Weekday,13,2022-04-08T19:13:00.0,2022-04-09T00:10:00.0,19.216666666666665
CH13,KR_U186,KR347,0.6166666666666667,4.1,2022-04-15,19:08:00.0,2022-04-15,19:45:00.0,19,19,April,Friday,37.0,Weekday,13,2022-04-15T19:08:00.0,2022-04-15T19:45:00.0,19.133333333333333
CH13,KR_U186,KR348,1.7833333333333334,11.79,2022-02-08,12:09:00.0,2022-02-08,13:56:00.0,12,13,February,Tuesday,107.0,Weekday,13,2022-02-08T12:09:00.0,2022-02-08T13:56:00.0,12.15
CH13,KR_U199,KR349,2.0,14.0,2022-09-13,18:46:00.0,2022-09-13,20:46:00.0,18,20,September,Tuesday,120.0,Weekday,14,2022-09-13T18:46:00.0,2022-09-13T20:46:00.0,18.766666666666666
CH13,KR_U199,KR350,1.75,12.1,2022-06-15,18:47:00.0,2022-06-15,20:32:00.0,18,20,June,Wednesday,105.0,Weekday,14,2022-06-15T18:47:00.0,2022-06-15T20:32:00.0,18.783333333333335
CH13,KR_U199,KR351,3.3833333333333333,21.8,2022-04-05,20:04:00.0,2022-04-05,23:27:00.0,20,23,April,Tuesday,203.0,Weekday,14,2022-04-05T20:04:00.0,2022-04-05T23:27:00.0,20.066666666666666
CH13,KR_U199,KR352,2.4833333333333334,15.0,2022-04-07,21:32:00.0,2022-04-08,00:01:00.0,21,0,April,Thursday,149.0,Weekday,14,2022-04-07T21:32:00.0,2022-04-08T00:01:00.0,21.533333333333335
CH13,KR_U199,KR353,1.8,12.5,2022-04-28,17:50:00.0,2022-04-28,19:38:00.0,17,19,April,Thursday,108.0,Weekday,14,2022-04-28T17:50:00.0,2022-04-28T19:38:00.0,17.833333333333332
CH13,KR_U199,KR354,2.2333333333333334,14.9,2022-03-05,19:22:00.0,2022-03-05,21:36:00.0,19,21,March,Saturday,134.0,Weekend,14,2022-03-05T19:22:00.0,2022-03-05T21:36:00.0,19.366666666666667
CH13,KR_U199,KR355,2.3666666666666667,16.0,2022-03-07,20:54:00.0,2022-03-07,23:16:00.0,20,23,March,Monday,142.0,Weekday,14,2022-03-07T20:54:00.0,2022-03-07T23:16:00.0,20.9
CH13,KR_U199,KR356,2.4833333333333334,16.6,2022-01-25,20:47:00.0,2022-01-25,23:16:00.0,20,23,January,Tuesday,149.0,Weekday,14,2022-01-25T20:47:00.0,2022-01-25T23:16:00.0,20.783333333333335
CH13,KR_U291,KR379,4.033333333333333,28.7,2022-09-30,10:22:00.0,2022-09-30,14:24:00.0,10,14,September,Friday,242.0,Weekday,18,2022-09-30T10:22:00.0,2022-09-30T14:24:00.0,10.366666666666667
CH13,KR_U291,KR380,1.9833333333333334,14.2,2022-09-19,10:47:00.0,2022-09-19,12:46:00.0,10,12,September,Monday,119.0,Weekday,18,2022-09-19T10:47:00.0,2022-09-19T12:46:00.0,10.783333333333333
CH13,KR_U291,KR381,10.733333333333333,35.2,2022-08-14,19:26:00.0,2022-08-15,06:10:00.0,19,6,August,Sunday,644.0,Weekend,18,2022-08-14T19:26:00.0,2022-08-15T06:10:00.0,19.433333333333334
CH13,KR_U291,KR382,10.783333333333333,15.6,2022-08-12,16:23:00.0,2022-08-13,03:10:00.0,16,3,August,Friday,647.0,Weekday,18,2022-08-12T16:23:00.0,2022-08-13T03:10:00.0,16.383333333333333
CH13,KR_U291,KR383,10.733333333333333,49.3,2022-08-09,17:26:00.0,2022-08-10,04:10:00.0,17,4,August,Tuesday,644.0,Weekday,18,2022-08-09T17:26:00.0,2022-08-10T04:10:00.0,17.433333333333334
CH13,KR_U291,KR384,5.366666666666666,37.6,2022-08-06,11:57:00.0,2022-08-06,17:19:00.0,11,17,August,Saturday,322.0,Weekend,18,2022-08-06T11:57:00.0,2022-08-06T17:19:00.0,11.95
CH13,KR_U291,KR385,5.683333333333334,40.79,2022-08-26,10:21:00.0,2022-08-26,16:02:00.0,10,16,August,Friday,341.0,Weekday,18,2022-08-26T10:21:00.0,2022-08-26T16:02:00.0,10.35
CH13,KR_U291,KR386,10.916666666666666,29.0,2022-08-21,18:15:00.0,2022-08-22,05:10:00.0,18,5,August,Sunday,655.0,Weekend,18,2022-08-21T18:15:00.0,2022-08-22T05:10:00.0,18.25
CH13,KR_U291,KR387,10.583333333333334,35.7,2022-06-30,15:35:00.0,2022-07-01,02:10:00.0,15,2,June,Thursday,635.0,Weekday,18,2022-06-30T15:35:00.0,2022-07-01T02:10:00.0,15.583333333333334
CH13,KR_U291,KR388,0.6333333333333333,4.39,2022-07-13,10:20:00.0,2022-07-13,10:58:00.0,10,10,July,Wednesday,38.0,Weekday,18,2022-07-13T10:20:00.0,2022-07-13T10:58:00.0,10.333333333333334
CH13,KR_U291,KR389,10.883333333333333,36.5,2022-07-21,17:17:00.0,2022-07-22,04:10:00.0,17,4,July,Thursday,653.0,Weekday,18,2022-07-21T17:17:00.0,2022-07-22T04:10:00.0,17.283333333333335
CH13,KR_U291,KR390,5.4,38.7,2022-07-23,17:30:00.0,2022-07-23,22:54:00.0,17,22,July,Saturday,324.0,Weekend,18,2022-07-23T17:30:00.0,2022-07-23T22:54:00.0,17.5
CH13,KR_U291,KR391,3.183333333333333,23.0,2022-06-11,13:28:00.0,2022-06-11,16:39:00.0,13,16,June,Saturday,191.0,Weekend,18,2022-06-11T13:28:00.0,2022-06-11T16:39:00.0,13.466666666666667
CH13,KR_U291,KR392,5.416666666666667,38.7,2022-06-25,14:30:00.0,2022-06-25,19:55:00.0,14,19,June,Saturday,325.0,Weekend,18,2022-06-25T14:30:00.0,2022-06-25T19:55:00.0,14.5
CH13,KR_U291,KR393,10.5,29.2,2022-06-28,18:40:00.0,2022-06-29,05:10:00.0,18,5,June,Tuesday,630.0,Weekday,18,2022-06-28T18:40:00.0,2022-06-29T05:10:00.0,18.666666666666668
CH13,KR_U291,KR394,3.65,26.0,2022-05-24,17:32:00.0,2022-05-24,21:11:00.0,17,21,May,Tuesday,219.0,Weekday,18,2022-05-24T17:32:00.0,2022-05-24T21:11:00.0,17.533333333333335
CH13,KR_U291,KR395,4.016666666666667,28.7,2022-04-03,19:24:00.0,2022-04-03,23:25:00.0,19,23,April,Sunday,241.0,Weekend,18,2022-04-03T19:24:00.0,2022-04-03T23:25:00.0,19.4
CH13,KR_U291,KR396,0.26666666666666666,2.0,2022-04-17,17:51:00.0,2022-04-17,18:07:00.0,17,18,April,Sunday,16.0,Weekend,18,2022-04-17T17:51:00.0,2022-04-17T18:07:00.0,17.85
CH13,KR_U291,KR397,3.816666666666667,27.2,2022-03-18,16:33:00.0,2022-03-18,20:22:00.0,16,20,March,Friday,229.0,Weekday,18,2022-03-18T16:33:00.0,2022-03-18T20:22:00.0,16.55
CH13,KR_U291,KR398,3.9166666666666665,28.0,2022-03-21,15:43:00.0,2022-03-21,19:38:00.0,15,19,March,Monday,235.0,Weekday,18,2022-03-21T15:43:00.0,2022-03-21T19:38:00.0,15.716666666666667
CH13,KR_U291,KR399,4.016666666666667,28.8,2022-02-07,16:28:00.0,2022-02-07,20:29:00.0,16,20,February,Monday,241.0,Weekday,18,2022-02-07T16:28:00.0,2022-02-07T20:29:00.0,16.466666666666665
CH13,KR_U291,KR400,4.1,29.4,2022-02-10,17:40:00.0,2022-02-10,21:46:00.0,17,21,February,Thursday,245.99999999999997,Weekday,18,2022-02-10T17:40:00.0,2022-02-10T21:46:00.0,17.666666666666668
CH13,KR_U291,KR401,4.716666666666667,34.1,2022-01-06,18:06:00.0,2022-01-06,22:49:00.0,18,22,January,Thursday,283.0,Weekday,18,2022-01-06T18:06:00.0,2022-01-06T22:49:00.0,18.1
CH13,KR_U291,KR402,5.166666666666667,37.2,2022-01-12,12:41:00.0,2022-01-12,17:51:00.0,12,17,January,Wednesday,310.0,Weekday,18,2022-01-12T12:41:00.0,2022-01-12T17:51:00.0,12.683333333333334
CH13,KR_U291,KR403,5.033333333333333,35.89,2021-12-02,17:29:00.0,2021-12-02,22:31:00.0,17,22,December,Thursday,302.0,Weekday,18,2021-12-02T17:29:00.0,2021-12-02T22:31:00.0,17.483333333333334
CH13,KR_U291,KR404,2.7333333333333334,19.4,2021-12-20,15:23:00.0,2021-12-20,18:07:00.0,15,18,December,Monday,164.0,Weekday,18,2021-12-20T15:23:00.0,2021-12-20T18:07:00.0,15.383333333333333
CH13,KR_U291,KR405,3.783333333333333,27.1,2021-12-21,17:33:00.0,2021-12-21,21:20:00.0,17,21,December,Tuesday,227.0,Weekday,18,2021-12-21T17:33:00.0,2021-12-21T21:20:00.0,17.55
CH13,KR_U291,KR406,4.166666666666667,29.79,2021-11-14,19:46:00.0,2021-11-14,23:56:00.0,19,23,November,Sunday,250.00000000000003,Weekend,18,2021-11-14T19:46:00.0,2021-11-14T23:56:00.0,19.766666666666666
